Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
09/27/2023,APRD,4SPX  240328P03656950,4SPX  240328P03656950,SPX 03/28/2024 3656.95 P,255.00,50.341800,1283715.90,12.04%,10657895.00,425000,17.000000000000,
09/27/2023,APRD,4SPX  240328P03698040,4SPX  240328P03698040,SPX 03/28/2024 3698.04 P,-272.00,54.278500,-1476375.20,-13.85%,10657895.00,425000,17.000000000000,
09/27/2023,APRD,4XSP  240328P00369800,4XSP  240328P00369800,XSP 03/28/2024 369.8 P,-85.00,5.306400,-45104.40,-0.42%,10657895.00,425000,17.000000000000,
09/27/2023,APRD,912796CS6,912796CS6,UNITED STATES TREAS BILLS 09/28/2023,242500.00,99.985441,242464.69,2.27%,10657895.00,425000,17.000000000000,
09/27/2023,APRD,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,243000.00,98.639806,239694.73,2.25%,10657895.00,425000,17.000000000000,
09/27/2023,APRD,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,10686300.00,97.402778,10408753.07,97.66%,10657895.00,425000,17.000000000000,
09/27/2023,APRD,Cash&Other,Cash&Other,Cash & Other,4517.04,1.000000,4517.04,0.04%,10657895.00,425000,17.000000000000,Y
09/27/2023,APRH,4SPX  240328P03246050,4SPX  240328P03246050,SPX 03/28/2024 3246.05 P,1346.00,24.865700,3346923.22,11.89%,28148175.00,1125000,45.000000000000,
09/27/2023,APRH,4SPX  240328P03287140,4SPX  240328P03287140,SPX 03/28/2024 3287.14 P,-1391.00,26.581900,-3697542.29,-13.14%,28148175.00,1125000,45.000000000000,
09/27/2023,APRH,4XSP  240328P00328710,4XSP  240328P00328710,XSP 03/28/2024 328.71 P,-223.00,2.561900,-57130.37,-0.20%,28148175.00,1125000,45.000000000000,
09/27/2023,APRH,912796CS6,912796CS6,UNITED STATES TREAS BILLS 09/28/2023,546900.00,99.985441,546820.38,1.94%,28148175.00,1125000,45.000000000000,
09/27/2023,APRH,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,548000.00,98.639806,540546.14,1.92%,28148175.00,1125000,45.000000000000,
09/27/2023,APRH,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,28184200.00,97.402778,27452193.76,97.53%,28148175.00,1125000,45.000000000000,
09/27/2023,APRH,Cash&Other,Cash&Other,Cash & Other,15759.51,1.000000,15759.51,0.06%,28148175.00,1125000,45.000000000000,Y
09/27/2023,APRJ,4SPX  240328P02835160,4SPX  240328P02835160,SPX 03/28/2024 2835.16 P,3768.00,13.184600,4967957.28,9.50%,52301550.00,2100000,84.000000000000,
09/27/2023,APRJ,4SPX  240328P02876250,4SPX  240328P02876250,SPX 03/28/2024 2876.25 P,-3852.00,14.022600,-5401505.52,-10.33%,52301550.00,2100000,84.000000000000,
09/27/2023,APRJ,4XSP  240328P00287630,4XSP  240328P00287630,XSP 03/28/2024 287.63 P,-416.00,1.342400,-55843.84,-0.11%,52301550.00,2100000,84.000000000000,
09/27/2023,APRJ,912796CS6,912796CS6,UNITED STATES TREAS BILLS 09/28/2023,840000.00,99.985441,839877.70,1.61%,52301550.00,2100000,84.000000000000,
09/27/2023,APRJ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,841700.00,98.639806,830251.25,1.59%,52301550.00,2100000,84.000000000000,
09/27/2023,APRJ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,52427700.00,97.402778,51066036.24,97.64%,52301550.00,2100000,84.000000000000,
09/27/2023,APRJ,Cash&Other,Cash&Other,Cash & Other,53656.57,1.000000,53656.57,0.10%,52301550.00,2100000,84.000000000000,Y
09/27/2023,APRQ,4SPX  240328P02424270,4SPX  240328P02424270,SPX 03/28/2024 2424.27 P,3648.00,7.152900,2609377.92,6.90%,37824575.00,1525000,61.000000000000,
09/27/2023,APRQ,4SPX  240328P02465360,4SPX  240328P02465360,SPX 03/28/2024 2465.36 P,-3709.00,7.603400,-2820101.06,-7.46%,37824575.00,1525000,61.000000000000,
09/27/2023,APRQ,4XSP  240328P00246540,4XSP  240328P00246540,XSP 03/28/2024 246.54 P,-302.00,0.738100,-22290.62,-0.06%,37824575.00,1525000,61.000000000000,
09/27/2023,APRQ,912796CS6,912796CS6,UNITED STATES TREAS BILLS 09/28/2023,514300.00,99.985441,514225.12,1.36%,37824575.00,1525000,61.000000000000,
09/27/2023,APRQ,912796ZN2,912796ZN2,UNITED STATES TREAS BILLS 12/28/2023,515300.00,98.639806,508290.92,1.34%,37824575.00,1525000,61.000000000000,
09/27/2023,APRQ,912797LL9,912797LL9,UNITED STATES TREAS BILLS 03/21/2024,37993400.00,97.402778,37006627.06,97.84%,37824575.00,1525000,61.000000000000,
09/27/2023,APRQ,Cash&Other,Cash&Other,Cash & Other,27634.18,1.000000,27634.18,0.07%,37824575.00,1525000,61.000000000000,Y
09/27/2023,BALT,2SPY  230929C00001110,2SPY  230929C00001110,SPY 09/29/2023 1.11 C,10152.00,424.710000,431165592.00,96.07%,448826265.00,16150000,646.000000000000,
09/27/2023,BALT,2SPY  230929C00454630,2SPY  230929C00454630,SPY 09/29/2023 454.63 C,-10152.00,0.040000,-40608.00,-0.01%,448826265.00,16150000,646.000000000000,
09/27/2023,BALT,2SPY  230929P00354620,2SPY  230929P00354620,SPY 09/29/2023 354.62 P,-10152.00,0.040000,-40608.00,-0.01%,448826265.00,16150000,646.000000000000,
09/27/2023,BALT,2SPY  230929P00443280,2SPY  230929P00443280,SPY 09/29/2023 443.28 P,10152.00,17.120000,17380224.00,3.87%,448826265.00,16150000,646.000000000000,
09/27/2023,BALT,Cash&Other,Cash&Other,Cash & Other,356418.75,1.000000,356418.75,0.08%,448826265.00,16150000,646.000000000000,Y
09/27/2023,BAPR,2SPY  240328C00004110,2SPY  240328C00004110,SPY 03/28/2024 4.11 C,3619.00,418.911300,151603999.47,98.71%,153581120.00,4400000,176.000000000000,
09/27/2023,BAPR,2SPY  240328C00491840,2SPY  240328C00491840,SPY 03/28/2024 491.84 C,-3619.00,1.443100,-522257.89,-0.34%,153581120.00,4400000,176.000000000000,
09/27/2023,BAPR,2SPY  240328P00372540,2SPY  240328P00372540,SPY 03/28/2024 372.54 P,-3619.00,5.822100,-2107017.99,-1.37%,153581120.00,4400000,176.000000000000,
09/27/2023,BAPR,2SPY  240328P00409400,2SPY  240328P00409400,SPY 03/28/2024 409.4 P,3619.00,11.870400,4295897.76,2.80%,153581120.00,4400000,176.000000000000,
09/27/2023,BAPR,Cash&Other,Cash&Other,Cash & Other,307236.78,1.000000,307236.78,0.20%,153581120.00,4400000,176.000000000000,Y
09/27/2023,BAUG,2SPY  240731C00004590,2SPY  240731C00004590,SPY 07/31/2024 4.59 C,4319.00,417.209800,180192912.62,96.48%,186758007.50,5675000,227.000000000000,
09/27/2023,BAUG,2SPY  240731C00550950,2SPY  240731C00550950,SPY 07/31/2024 550.95 C,-4319.00,0.564800,-243937.12,-0.13%,186758007.50,5675000,227.000000000000,
09/27/2023,BAUG,2SPY  240731P00416590,2SPY  240731P00416590,SPY 07/31/2024 416.59 P,-4319.00,18.067400,-7803310.06,-4.18%,186758007.50,5675000,227.000000000000,
09/27/2023,BAUG,2SPY  240731P00457800,2SPY  240731P00457800,SPY 07/31/2024 457.8 P,4319.00,32.838000,14182732.20,7.59%,186758007.50,5675000,227.000000000000,
09/27/2023,BAUG,Cash&Other,Cash&Other,Cash & Other,425643.39,1.000000,425643.39,0.23%,186758007.50,5675000,227.000000000000,Y
09/27/2023,BDEC,2SPY  231130C00004090,2SPY  231130C00004090,SPY 11/30/2023 4.09 C,2295.00,421.966700,96841357.65,98.97%,97849920.00,2800000,112.000000000000,
09/27/2023,BDEC,2SPY  231130C00509600,2SPY  231130C00509600,SPY 11/30/2023 509.6 C,-2295.00,0.032700,-7504.65,-0.01%,97849920.00,2800000,112.000000000000,
09/27/2023,BDEC,2SPY  231130P00370990,2SPY  231130P00370990,SPY 11/30/2023 370.99 P,-2295.00,1.640100,-376402.95,-0.38%,97849920.00,2800000,112.000000000000,
