Innovator U.S. Equity Buffer ETF (BJAN)
As of 10/3/2023
Date,Ticker,Fund Price,Fund Return,Index,Index Level,Index Return,Remaining Cap,Remaining Buffer,Downside Before Buffer,Remaining Outcome Period,
02-24-2023,BJAN,$34.11,3.03%,SPDR S&P 500 ETF Trust,396.38,3.65%,21.24%,9.14%,-3.06%,310 days,
02-27-2023,BJAN,$34.20,3.30%,SPDR S&P 500 ETF Trust,397.73,4.00%,20.91%,9.18%,-3.32%,307 days,
02-28-2023,BJAN,$34.13,3.08%,SPDR S&P 500 ETF Trust,396.26,3.61%,21.16%,9.05%,-3.12%,306 days,
03-01-2023,BJAN,$34.02,2.75%,SPDR S&P 500 ETF Trust,394.74,3.22%,21.55%,9.02%,-2.81%,305 days,
03-02-2023,BJAN,$34.29,3.56%,SPDR S&P 500 ETF Trust,397.81,4.02%,20.60%,8.94%,-3.57%,304 days,
03-03-2023,BJAN,$34.64,4.63%,SPDR S&P 500 ETF Trust,404.19,5.69%,19.36%,9.33%,-4.56%,303 days,
03-06-2023,BJAN,$34.65,4.66%,SPDR S&P 500 ETF Trust,404.47,5.76%,19.32%,9.36%,-4.60%,300 days,
03-07-2023,BJAN,$34.25,3.47%,SPDR S&P 500 ETF Trust,398.27,4.14%,20.70%,9.12%,-3.49%,299 days,
03-08-2023,BJAN,$34.30,3.59%,SPDR S&P 500 ETF Trust,398.92,4.31%,20.55%,9.15%,-3.61%,298 days,
03-09-2023,BJAN,$33.82,2.15%,SPDR S&P 500 ETF Trust,391.56,2.38%,22.25%,8.87%,-2.25%,297 days,
03-10-2023,BJAN,$33.42,0.95%,SPDR S&P 500 ETF Trust,385.91,0.91%,23.70%,8.73%,-1.09%,296 days,
03-13-2023,BJAN,$33.40,0.90%,SPDR S&P 500 ETF Trust,385.36,0.76%,23.76%,8.65%,-1.04%,293 days,
03-14-2023,BJAN,$33.87,2.29%,SPDR S&P 500 ETF Trust,391.73,2.43%,22.06%,8.76%,-2.40%,292 days,
03-15-2023,BJAN,$33.70,1.78%,SPDR S&P 500 ETF Trust,389.28,1.79%,22.67%,8.69%,-1.91%,291 days,
03-16-2023,BJAN,$34.14,3.12%,SPDR S&P 500 ETF Trust,396.11,3.57%,21.08%,8.95%,-3.19%,290 days,
03-17-2023,BJAN,$33.82,2.15%,SPDR S&P 500 ETF Trust,389.99,1.97%,22.22%,8.49%,-2.27%,289 days,
03-20-2023,BJAN,$34.09,2.96%,SPDR S&P 500 ETF Trust,393.74,2.95%,21.25%,8.56%,-3.05%,286 days,
03-21-2023,BJAN,$34.44,4.03%,SPDR S&P 500 ETF Trust,398.91,4.31%,20.01%,8.71%,-4.05%,285 days,
03-22-2023,BJAN,$34.02,2.75%,SPDR S&P 500 ETF Trust,392.11,2.53%,21.50%,8.39%,-2.85%,284 days,
03-23-2023,BJAN,$34.11,3.03%,SPDR S&P 500 ETF Trust,393.17,2.81%,21.17%,8.36%,-3.12%,283 days,
03-24-2023,BJAN,$34.23,3.40%,SPDR S&P 500 ETF Trust,395.75,3.48%,20.73%,8.59%,-3.47%,282 days,
03-27-2023,BJAN,$34.28,3.55%,SPDR S&P 500 ETF Trust,396.49,3.67%,20.55%,8.61%,-3.62%,279 days,
03-28-2023,BJAN,$34.22,3.35%,SPDR S&P 500 ETF Trust,395.60,3.44%,20.77%,8.59%,-3.43%,278 days,
03-29-2023,BJAN,$34.61,4.54%,SPDR S&P 500 ETF Trust,401.35,4.94%,19.40%,8.75%,-4.54%,277 days,
03-30-2023,BJAN,$34.76,5.00%,SPDR S&P 500 ETF Trust,403.70,5.56%,18.88%,8.84%,-4.95%,276 days,
03-31-2023,BJAN,$35.13,6.11%,SPDR S&P 500 ETF Trust,409.39,7.05%,17.62%,9.03%,-5.96%,275 days,
04-03-2023,BJAN,$35.25,6.46%,SPDR S&P 500 ETF Trust,410.95,7.45%,17.23%,9.04%,-6.27%,272 days,
04-04-2023,BJAN,$35.11,6.06%,SPDR S&P 500 ETF Trust,408.67,6.86%,17.67%,8.92%,-5.92%,271 days,
04-05-2023,BJAN,$35.04,5.84%,SPDR S&P 500 ETF Trust,407.60,6.58%,17.92%,8.89%,-5.72%,270 days,
04-06-2023,BJAN,$35.15,6.19%,SPDR S&P 500 ETF Trust,409.19,6.99%,17.53%,8.92%,-6.03%,269 days,
04-10-2023,BJAN,$35.22,6.39%,SPDR S&P 500 ETF Trust,409.61,7.10%,17.30%,8.81%,-6.22%,265 days,
04-11-2023,BJAN,$35.18,6.26%,SPDR S&P 500 ETF Trust,409.72,7.13%,17.43%,8.94%,-6.11%,264 days,
04-12-2023,BJAN,$35.09,5.99%,SPDR S&P 500 ETF Trust,408.05,6.70%,17.73%,8.84%,-5.87%,263 days,
04-13-2023,BJAN,$35.44,7.04%,SPDR S&P 500 ETF Trust,413.47,8.11%,16.57%,9.03%,-6.80%,262 days,
04-14-2023,BJAN,$35.39,6.88%,SPDR S&P 500 ETF Trust,412.46,7.85%,16.74%,8.96%,-6.67%,261 days,
04-17-2023,BJAN,$35.57,7.44%,SPDR S&P 500 ETF Trust,413.94,8.24%,16.13%,8.77%,-7.16%,258 days,
04-18-2023,BJAN,$35.57,7.45%,SPDR S&P 500 ETF Trust,414.21,8.31%,16.12%,8.81%,-7.17%,257 days,
04-19-2023,BJAN,$35.55,7.40%,SPDR S&P 500 ETF Trust,414.14,8.29%,16.17%,8.84%,-7.12%,256 days,
04-20-2023,BJAN,$35.46,7.10%,SPDR S&P 500 ETF Trust,411.88,7.70%,16.49%,8.64%,-6.87%,255 days,
04-21-2023,BJAN,$35.47,7.13%,SPDR S&P 500 ETF Trust,412.20,7.78%,16.46%,8.68%,-6.89%,254 days,
04-24-2023,BJAN,$35.51,7.26%,SPDR S&P 500 ETF Trust,412.63,7.89%,16.31%,8.64%,-7.01%,251 days,
04-25-2023,BJAN,$35.17,6.25%,SPDR S&P 500 ETF Trust,406.08,6.18%,17.42%,8.17%,-6.13%,250 days,
04-26-2023,BJAN,$34.95,5.57%,SPDR S&P 500 ETF Trust,404.36,5.73%,18.17%,8.41%,-5.53%,249 days,
04-27-2023,BJAN,$35.45,7.07%,SPDR S&P 500 ETF Trust,412.41,7.84%,16.51%,8.76%,-6.85%,248 days,
04-28-2023,BJAN,$35.73,7.93%,SPDR S&P 500 ETF Trust,415.93,8.76%,15.57%,8.72%,-7.60%,247 days,
05-01-2023,BJAN,$35.71,7.86%,SPDR S&P 500 ETF Trust,415.51,8.65%,15.65%,8.70%,-7.55%,244 days,
05-02-2023,BJAN,$35.38,6.88%,SPDR S&P 500 ETF Trust,410.84,7.43%,16.70%,8.59%,-6.70%,243 days,
05-03-2023,BJAN,$35.26,6.49%,SPDR S&P 500 ETF Trust,408.02,6.69%,17.12%,8.34%,-6.36%,242 days,
05-04-2023,BJAN,$34.97,5.64%,SPDR S&P 500 ETF Trust,405.13,5.93%,18.06%,8.49%,-5.61%,241 days,
05-05-2023,BJAN,$35.50,7.23%,SPDR S&P 500 ETF Trust,412.63,7.89%,16.32%,8.65%,-7.01%,240 days,
05-08-2023,BJAN,$35.53,7.31%,SPDR S&P 500 ETF Trust,412.74,7.92%,16.22%,8.59%,-7.09%,237 days,
05-09-2023,BJAN,$35.35,6.78%,SPDR S&P 500 ETF Trust,410.93,7.45%,16.79%,8.68%,-6.63%,236 days,
05-10-2023,BJAN,$35.56,7.40%,SPDR S&P 500 ETF Trust,412.85,7.95%,16.11%,8.53%,-7.17%,235 days,
05-11-2023,BJAN,$35.49,7.19%,SPDR S&P 500 ETF Trust,412.13,7.76%,16.34%,8.56%,-6.99%,234 days,
05-12-2023,BJAN,$35.43,7.02%,SPDR S&P 500 ETF Trust,411.59,7.62%,16.52%,8.60%,-6.85%,233 days,
05-15-2023,BJAN,$35.51,7.25%,SPDR S&P 500 ETF Trust,413.01,7.99%,16.26%,8.68%,-7.06%,230 days,
05-16-2023,BJAN,$35.40,6.92%,SPDR S&P 500 ETF Trust,410.25,7.27%,16.62%,8.40%,-6.76%,229 days,
05-17-2023,BJAN,$35.69,7.81%,SPDR S&P 500 ETF Trust,415.23,8.57%,15.66%,8.64%,-7.54%,228 days,
05-18-2023,BJAN,$35.97,8.64%,SPDR S&P 500 ETF Trust,419.23,9.62%,14.77%,8.74%,-8.25%,227 days,
05-19-2023,BJAN,$35.90,8.43%,SPDR S&P 500 ETF Trust,418.62,9.46%,14.99%,8.79%,-8.07%,226 days,
05-22-2023,BJAN,$35.96,8.62%,SPDR S&P 500 ETF Trust,418.79,9.50%,14.78%,8.65%,-8.24%,223 days,
05-23-2023,BJAN,$35.64,7.66%,SPDR S&P 500 ETF Trust,414.09,8.28%,15.81%,8.53%,-7.42%,222 days,
05-24-2023,BJAN,$35.42,7.00%,SPDR S&P 500 ETF Trust,411.09,7.49%,16.51%,8.49%,-6.86%,221 days,
05-25-2023,BJAN,$35.61,7.55%,SPDR S&P 500 ETF Trust,414.65,8.42%,15.91%,8.73%,-7.34%,220 days,
05-26-2023,BJAN,$36.02,8.80%,SPDR S&P 500 ETF Trust,420.02,9.83%,14.58%,8.74%,-8.40%,219 days,
05-30-2023,BJAN,$36.05,8.90%,SPDR S&P 500 ETF Trust,420.18,9.87%,14.47%,8.68%,-8.50%,215 days,
05-31-2023,BJAN,$35.89,8.42%,SPDR S&P 500 ETF Trust,417.85,9.26%,14.97%,8.62%,-8.10%,214 days,
06-01-2023,BJAN,$36.16,9.24%,SPDR S&P 500 ETF Trust,421.82,10.30%,14.11%,8.71%,-8.79%,213 days,
06-02-2023,BJAN,$36.55,10.41%,SPDR S&P 500 ETF Trust,427.92,11.89%,12.89%,8.91%,-9.76%,212 days,
06-05-2023,BJAN,$36.53,10.35%,SPDR S&P 500 ETF Trust,427.10,11.68%,12.95%,8.80%,-9.72%,209 days,
06-06-2023,BJAN,$36.61,10.59%,SPDR S&P 500 ETF Trust,428.03,11.92%,12.70%,8.78%,-9.91%,208 days,
06-07-2023,BJAN,$36.50,10.25%,SPDR S&P 500 ETF Trust,426.55,11.53%,13.04%,8.77%,-9.64%,207 days,
06-08-2023,BJAN,$36.68,10.79%,SPDR S&P 500 ETF Trust,429.13,12.21%,12.49%,8.82%,-10.08%,206 days,
06-09-2023,BJAN,$36.72,10.91%,SPDR S&P 500 ETF Trust,429.90,12.41%,12.36%,8.86%,-10.19%,205 days,
06-12-2023,BJAN,$36.99,11.72%,SPDR S&P 500 ETF Trust,433.80,13.43%,11.54%,8.93%,-10.85%,202 days,
06-13-2023,BJAN,$37.15,12.22%,SPDR S&P 500 ETF Trust,436.66,14.18%,11.05%,9.06%,-11.24%,201 days,
06-14-2023,BJAN,$37.16,12.23%,SPDR S&P 500 ETF Trust,437.18,14.31%,11.03%,9.14%,-11.26%,200 days,
06-15-2023,BJAN,$37.46,13.14%,SPDR S&P 500 ETF Trust,442.60,15.73%,10.14%,9.40%,-11.97%,199 days,
06-16-2023,BJAN,$37.37,12.89%,SPDR S&P 500 ETF Trust,439.46,14.91%,10.39%,9.03%,-11.78%,198 days,
06-20-2023,BJAN,$37.29,12.63%,SPDR S&P 500 ETF Trust,437.18,14.31%,10.63%,8.81%,-11.58%,194 days,
06-21-2023,BJAN,$37.17,12.26%,SPDR S&P 500 ETF Trust,434.94,13.73%,10.99%,8.69%,-11.29%,193 days,
06-22-2023,BJAN,$37.27,12.57%,SPDR S&P 500 ETF Trust,436.51,14.14%,10.68%,8.73%,-11.54%,192 days,
06-23-2023,BJAN,$37.06,11.93%,SPDR S&P 500 ETF Trust,433.21,13.28%,11.31%,8.63%,-11.04%,191 days,
06-26-2023,BJAN,$36.96,11.64%,SPDR S&P 500 ETF Trust,431.44,12.81%,11.59%,8.52%,-10.81%,188 days,
06-27-2023,BJAN,$37.28,12.61%,SPDR S&P 500 ETF Trust,436.17,14.05%,10.63%,8.62%,-11.59%,187 days,
06-28-2023,BJAN,$37.28,12.60%,SPDR S&P 500 ETF Trust,436.39,14.11%,10.64%,8.68%,-11.57%,186 days,
06-29-2023,BJAN,$37.39,12.94%,SPDR S&P 500 ETF Trust,438.11,14.56%,10.30%,8.71%,-11.85%,185 days,
06-30-2023,BJAN,$37.73,13.97%,SPDR S&P 500 ETF Trust,443.28,15.91%,9.30%,8.84%,-12.65%,184 days,
07-03-2023,BJAN,$37.78,14.12%,SPDR S&P 500 ETF Trust,443.79,16.04%,9.15%,8.81%,-12.77%,181 days,
07-05-2023,BJAN,$37.74,14.01%,SPDR S&P 500 ETF Trust,443.13,15.87%,9.25%,8.77%,-12.69%,179 days,
07-06-2023,BJAN,$37.52,13.33%,SPDR S&P 500 ETF Trust,439.66,14.96%,9.91%,8.68%,-12.17%,178 days,
07-07-2023,BJAN,$37.44,13.08%,SPDR S&P 500 ETF Trust,438.55,14.67%,10.15%,8.67%,-11.97%,177 days,
07-10-2023,BJAN,$37.54,13.40%,SPDR S&P 500 ETF Trust,439.66,14.96%,9.82%,8.61%,-12.23%,174 days,
07-11-2023,BJAN,$37.73,13.96%,SPDR S&P 500 ETF Trust,442.46,15.69%,9.29%,8.68%,-12.66%,173 days,
07-12-2023,BJAN,$37.91,14.50%,SPDR S&P 500 ETF Trust,446.02,16.62%,8.77%,8.89%,-13.08%,172 days,
07-13-2023,BJAN,$38.14,15.21%,SPDR S&P 500 ETF Trust,449.56,17.55%,8.09%,8.96%,-13.63%,171 days,
07-14-2023,BJAN,$38.13,15.18%,SPDR S&P 500 ETF Trust,449.28,17.48%,8.12%,8.93%,-13.60%,170 days,
07-17-2023,BJAN,$38.23,15.48%,SPDR S&P 500 ETF Trust,450.84,17.89%,7.83%,8.97%,-13.84%,167 days,
07-18-2023,BJAN,$38.40,16.00%,SPDR S&P 500 ETF Trust,454.19,18.76%,7.35%,9.15%,-14.22%,166 days,
07-19-2023,BJAN,$38.40,15.98%,SPDR S&P 500 ETF Trust,455.20,19.03%,7.36%,9.33%,-14.21%,165 days,
07-20-2023,BJAN,$38.28,15.64%,SPDR S&P 500 ETF Trust,452.18,18.24%,7.68%,9.08%,-13.96%,164 days,
07-21-2023,BJAN,$38.29,15.67%,SPDR S&P 500 ETF Trust,452.18,18.24%,7.64%,9.05%,-13.99%,163 days,
07-24-2023,BJAN,$38.43,16.07%,SPDR S&P 500 ETF Trust,454.20,18.76%,7.27%,9.09%,-14.29%,160 days,
07-25-2023,BJAN,$38.49,16.26%,SPDR S&P 500 ETF Trust,455.44,19.09%,7.09%,9.15%,-14.43%,159 days,
07-26-2023,BJAN,$38.51,16.33%,SPDR S&P 500 ETF Trust,455.51,19.11%,7.03%,9.11%,-14.48%,158 days,
07-27-2023,BJAN,$38.30,15.67%,SPDR S&P 500 ETF Trust,452.49,18.32%,7.63%,9.09%,-14.00%,157 days,
07-28-2023,BJAN,$38.57,16.50%,SPDR S&P 500 ETF Trust,456.92,19.47%,6.86%,9.22%,-14.62%,156 days,
07-31-2023,BJAN,$38.61,16.62%,SPDR S&P 500 ETF Trust,457.79,19.70%,6.75%,9.27%,-14.71%,153 days,
