Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,33.950001,33.950001,33.779999,33.889999,33.889999,19100
2022-11-22,34.009998,34.290001,34.009998,34.270000,34.270000,5700
2022-11-23,34.410000,34.459999,34.230000,34.446999,34.446999,6300
2022-11-25,34.369999,34.529999,34.369999,34.459000,34.459000,2000
2022-11-28,34.279999,34.285999,33.970001,34.000000,34.000000,12800
2022-11-29,34.020000,34.029999,33.860001,33.962002,33.962002,10900
2022-11-30,33.939999,34.786999,33.840000,34.786999,34.786999,7400
2022-12-01,34.994999,34.994999,34.700001,34.880001,34.880001,10300
2022-12-02,34.669998,34.880001,34.540001,34.810001,34.810001,4700
2022-12-05,34.532001,34.570000,34.180000,34.270000,34.270000,10700
2022-12-06,34.250000,34.250000,33.639999,33.827999,33.827999,4800
2022-12-07,33.820000,33.880001,33.770000,33.799000,33.799000,7700
2022-12-08,34.119999,34.119999,33.935001,34.004002,34.004002,21500
2022-12-09,34.009998,34.092999,33.849998,33.849998,33.849998,11000
2022-12-12,33.880001,34.189999,33.880001,34.189999,34.189999,4700
2022-12-13,34.970001,35.060001,34.310001,34.479000,34.479000,9700
2022-12-14,34.580002,34.740002,34.222000,34.331001,34.331001,11300
2022-12-15,33.639999,33.650002,33.421001,33.491001,33.491001,7700
2022-12-16,33.259998,33.400002,33.000000,33.180000,33.180000,9100
2022-12-19,33.125000,33.125000,32.780998,32.929001,32.929001,6400
2022-12-20,32.799999,33.066002,32.799999,32.900002,32.900002,21500
2022-12-21,33.119999,33.529999,33.119999,33.370998,33.370998,35500
2022-12-22,33.049000,33.049000,32.520000,32.900002,32.900002,30000
2022-12-23,32.811001,33.117001,32.759998,33.080002,33.080002,54300
2022-12-27,33.005001,33.130001,32.910000,32.980000,32.980000,33200
2022-12-28,33.000000,33.040001,32.639999,32.646999,32.646999,42200
2022-12-29,33.027000,33.235001,33.009998,33.130001,33.130001,44100
2022-12-30,32.990002,33.110001,32.790001,33.040001,33.040001,481400
2023-01-03,33.160000,33.310001,32.770000,32.939999,32.939999,498800
2023-01-04,33.139999,33.310001,32.980000,33.259998,33.259998,156100
2023-01-05,32.990002,33.040001,32.854000,32.889999,32.889999,49600
2023-01-06,33.160000,33.520000,32.939999,33.490002,33.490002,46200
2023-01-09,33.680000,33.820000,33.453999,33.453999,33.453999,47400
2023-01-10,33.369999,33.639999,33.368999,33.632000,33.632000,33500
2023-01-11,33.820000,33.953999,33.764999,33.953999,33.953999,34900
2023-01-12,34.090000,34.150002,33.900002,34.053001,34.053001,38300
